Symbol	H358.siNeg.1	H358.siNeg.2	H358.siNeg.3	H358.siKRAS.1	H358.siKRAS.2	H358.siKRAS.3	H358.siUHRF1.1	H358.siUHRF1.2	H358.siUHRF1.3	A549.siNeg.1	A549.siNeg.2	A549.siNeg.3	A549.siKRAS.1	A549.siKRAS.2	A549.siKRAS.3	A549.siUHRF1.1	A549.siUHRF1.2	A549.siUHRF1.3
CYP26B1	3.134521509	3.055486404	2.966074993	1.498836373	1.495836172	1.456456556	2.265340414	2.535312951	2.570067518	3.114469306	3.1558159	3.466346682	2.359902437	2.299368014	2.258348946	2.724621557	2.825514938	2.723053184
ICA1	4.187507932	4.260723292	4.163520073	4.460809435	4.588991379	4.550680816	4.166332964	3.967935932	4.150354478	5.190829078	5.234335411	5.049002781	3.966537566	4.376554817	4.286549562	4.15421521	4.554969862	4.380548304
DBNDD1	4.67834707	4.658809043	4.711369161	5.620989804	5.505989886	5.52878531	5.271431358	5.351340391	5.187850722	4.478633497	4.40118782	4.631805974	5.999010566	6.111359855	6.0835839	4.576100852	4.40557568	4.570996246
ALS2	5.522291008	5.593904666	5.506132316	5.574833348	5.577972543	5.6058295	5.323568589	5.34163728	5.428683311	6.218111251	6.23307889	6.249320477	6.408639359	6.336099517	6.491278115	6.161755467	6.331008662	6.30217163
CASP10	2.881509296	2.841531844	2.90249839	3.259173734	3.445300751	3.126936009	2.731965019	2.447570505	2.419972516	3.275480284	3.260998013	3.396130185	3.062620354	3.132285278	3.034149555	2.576876844	3.043490524	3.044175667
CFLAR	7.171937269	7.245344561	7.160320526	7.346810039	7.388012419	7.405806893	6.92384148	7.025007003	7.015808268	7.121977748	7.088934568	7.124315567	6.466233819	6.432685599	6.655165335	6.510215856	6.517343443	6.495043268
TFPI	5.004056656	5.051412097	5.035219318	4.81861364	4.824228159	4.807726836	5.036515377	5.006098566	5.044977033	7.685411894	7.67990318	7.715207293	8.369582508	8.126049754	8.296170553	8.429539784	8.43927687	8.485387073
NDUFAF7	3.857635788	3.836353477	4.012537436	4.330667957	4.307780564	4.134920857	4.078030857	4.077220134	3.930053346	4.59511381	4.559059607	4.520694254	4.72742563	4.544465493	4.735008936	5.071794377	4.971227452	5.072327513
RBM5	5.882499998	5.921280256	5.827946952	6.065206505	6.089809953	6.132013621	5.647126299	5.821673438	5.925023549	5.623733609	5.675946121	5.703085238	5.768982534	5.543607203	5.935541362	5.96181903	5.851216309	5.942765155
SLC7A2	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.214668663	7.482460622	7.506252039	7.45880276	9.492958386	9.381003904	9.589463214	9.184725748	9.10456214	9.157562024
