Symbol	H358.siNeg.1	H358.siNeg.2	H358.siNeg.3	H358.siKRAS.1	H358.siKRAS.2	H358.siKRAS.3	H358.siUHRF1.1	H358.siUHRF1.2	H358.siUHRF1.3	A549.siNeg.1	A549.siNeg.2	A549.siNeg.3	A549.siKRAS.1	A549.siKRAS.2	A549.siKRAS.3	A549.siUHRF1.1	A549.siUHRF1.2	A549.siUHRF1.3
NAMPT	7.799983521	7.78411055	7.809770078	7.40285609	7.567689763	7.572374777	7.537099531	7.684851167	7.730039571	9.465014259	9.518347403	9.490054957	9.777373062	9.743448558	9.74143359	9.91152803	10.00104888	9.896290066
POLR1F	5.849142027	5.818649491	5.765502947	5.324313842	5.299119751	5.283183072	5.710501893	5.699745107	5.745073177	7.85376769	7.89535374	7.855368116	6.583952236	6.514040284	6.605550375	7.220984608	7.377579591	7.320161827
PON3	3.446357302	3.517242332	3.254981607	3.870167054	3.933971751	3.713834946	3.307556417	3.193646016	3.21588185	1.959272694	1.883052455	1.888281344	3.181227084	3.151334006	3.216291865	1.966275914	2.147141016	1.727074512
PON2	7.704621283	7.69957691	7.632880396	7.7530114	7.890632019	7.83607775	7.470733849	7.43116258	7.423387144	7.591650735	7.654185775	7.598242469	8.108422915	7.989823811	8.009649744	7.585249763	7.720555428	7.523757127
ITGB8	5.939459912	5.99952065	5.816904657	6.277170024	6.288823793	6.400241811	5.669122151	5.826899102	5.774091274	6.880429459	6.933532339	6.989732173	7.17129135	7.082823026	7.149481535	6.417699209	6.60734128	6.517435478
HBP1	4.197640431	4.423645628	4.171248029	5.955599418	5.974523204	5.970865662	4.438712268	4.521577191	4.510131447	3.041689209	3.568198507	3.14813364	4.778494566	4.848649958	4.745826086	4.15421521	4.247712245	4.347600496
DUS4L	3.504650206	3.260049908	3.133657021	3.669424089	3.64469675	3.65137991	3.560228456	3.413358696	3.466183436	3.572735249	3.944869262	3.82814837	3.518170272	3.502343213	3.58492139	3.440463187	3.749274142	3.58630639
SP4	3.265521073	3.223256594	3.406714618	3.43616329	3.599294539	3.32666579	3.298900856	3.256961307	3.498642888	2.270830075	2.206443616	2.079635713	2.766336451	2.811498514	2.805104081	2.186178213	2.540247722	2.274722785
WDR91	3.730807138	3.702409892	3.829307873	3.762697134	3.738424773	3.773698086	3.623987481	3.659719419	3.509302417	3.633432053	3.273622537	3.443318823	3.325575029	3.630050753	3.655457913	3.315502064	3.14125567	3.614278196
DNAH11	3.666602915	3.936355382	3.439082073	3.870167054	3.806594881	3.679472005	3.818209235	4.059571351	3.914098035	2.392887419	2.25817914	2.16656675	0.841980914	0.828511007	0.90943155	0.269385445	0.253663081	0.106501029
CBLL1	5.685984007	5.625971747	5.577658129	5.816647058	5.760912992	5.833849398	5.679162068	5.724222493	5.736025823	5.855840423	5.718121003	5.760106543	5.591153277	5.330340428	5.359695736	6.020192388	5.965067466	5.926123506
MTPN	7.620977062	7.645416478	7.612448131	7.594513368	7.59493261	7.676229116	7.636200303	7.668934871	7.63711409	7.921760099	7.964629694	7.932328607	8.299193784	8.316870315	8.318533106	8.33669479	8.311748752	8.338012619
STEAP1B	0.190076342	0.330604849	0.397515534	0.294634165	0.190544087	0.106501029	0.257083592	0.279099791	0.315288897	2.64953187	2.748838746	2.621112598	2.766336451	2.926536865	2.675323408	2.779728097	2.801790527	2.892530679
MPP6	3.275121983	3.356645051	3.513923769	3.221012652	3.436721987	3.299770822	3.883345529	3.78672211	3.734962425	4.495081872	4.559059607	4.388298235	5.21836846	4.933626155	4.927828118	4.751750864	4.683860351	4.66759976
GSDME	2.356665584	2.469747548	2.257679657	2.626498092	2.565626088	2.689384487	2.479639475	2.585506122	2.549557983	3.509372237	3.382531398	3.443318823	4.263983804	4.368437828	4.467345408	3.334030101	3.578281943	3.55778151
ATP6V0A4	1.315703472	1.265081901	1.439811593	1.818016046	1.766169479	1.550722036	1.286141056	1.478665463	1.273688132	1.47554337	1.670392249	1.49918565	1.022290817	1.612488015	1.310092134	1.317360605	1.491012033	1.564539233
ZC3HAV1	7.546128367	7.563155014	7.462271874	6.56150452	6.560635547	6.537991798	7.736961505	7.762355319	7.784258575	7.198463548	7.23406598	7.336810291	7.80632085	7.656480719	7.842088975	7.667907048	7.731584586	7.643117742
TTC26	4.261821902	4.386688453	4.307219324	4.577158499	4.533749923	4.565810279	4.462159872	4.5129573	4.444998166	4.006673869	4.014214095	3.914406713	3.605612593	3.734793315	3.776446413	3.891945033	4.050433742	4.00079037
OGDH	6.16792761	6.173542064	6.219457667	6.727220817	6.595737664	6.661969111	6.35920514	6.358891116	6.32110643	7.507674457	7.47652946	7.514411537	7.153265288	7.278528531	7.148462857	6.977568675	7.068958539	6.967160651
ADAP1	4.197640431	4.353023504	4.783729483	3.97018331	3.766080542	3.824901412	5.015537176	4.798341691	4.510131447	1.069822962	0.940484665	1.4538179	1.256460877	1.909590652	1.188496459	0.548589482	0.726566409	0.925730642
H2AZ2	6.402824337	6.340671605	6.383950567	5.696635182	5.727892804	5.758485673	6.307284172	6.378004096	6.483982119	6.909353862	6.888074346	6.796562298	6.860671235	6.751013092	6.820341903	7.000947657	7.143995324	7.000661576
CAV2	6.572047637	6.559401378	6.605467276	7.060061066	7.114445811	7.129832791	6.734628236	6.699994547	6.731658495	6.439646045	6.413598301	6.41235042	6.327371349	6.434630618	6.289823449	5.774426392	5.737017538	5.657026568
CAV1	6.889730878	6.86129175	6.976273478	7.721239676	7.68823263	7.744720364	7.423238325	7.416794347	7.369558203	8.329728863	8.397707229	8.326895956	7.830721894	7.798429031	7.796645871	6.389189407	6.590131551	6.481818824
MET	7.285546986	7.286052623	7.243770037	7.791929416	7.805318831	7.846956008	7.728929061	7.719448268	7.778211475	7.458197164	7.464191499	7.436382273	8.714228112	8.612381053	8.74375298	7.453762755	7.53155614	7.434400949
RNF32	1.423237785	1.644832124	1.490109927	1.733793914	1.846086633	1.722571774	1.571316557	1.766643533	1.810440255	1.791852191	2.009193128	1.853767636	1.182548342	1.307480517	1.575617692	1.240874397	1.367162993	1.381339945
LMBR1	5.28156398	5.368161162	5.318796249	5.626839338	5.593492406	5.603998506	5.591509421	5.587229924	5.507890567	5.636146436	5.690141847	5.715151959	6.497052621	6.564651248	6.548001113	6.337326158	6.469206684	6.346620676
DNAJB6	7.239087467	7.27766598	7.287089726	7.482841276	7.456979438	7.496436809	7.557653179	7.47897114	7.540389391	6.343004244	6.323885944	6.202086822	7.224056315	7.142349685	7.174717471	6.593315281	6.700096522	6.671814684
HOXA3	0.483018193	0.462741481	0.547560081	0.407676018	0.106501029	0.263213336	0.257083592	0.433238331	0.315288897	4.416665676	4.495814501	4.611291138	3.910404634	3.901574269	3.926608951	4.011872487	3.999200635	3.979441508
LFNG	2.494552089	2.575706928	2.766267648	4.876225106	4.736080881	4.602954019	2.990321482	2.680939092	2.742606229	0.503316051	1.173892678	0.829200736	0.635873028	1.087782158	0.830331473	0.782421682	0.50940533	0.515351152
HOXA5	1.158593142	1.029668765	1.305813413	0.745412695	0.938214091	1.488567634	1.419884883	0.975239064	1.222783064	2.245128626	2.25817914	2.194417454	2.518519077	2.71237024	2.507500107	2.696258306	2.389238174	2.530983268
HOXA6	0.934588684	1.029668765	1.36091495	0.610221741	0.784432436	0.593579473	0.884805885	1.11849412	1.322858078	1.755903659	1.780637202	2.018628115	1.978267718	1.864130756	1.840724778	2.26554003	2.420731104	2.309357373
BRAT1	4.86475272	5.030267586	5.274639734	5.626839338	5.570149551	5.581843382	5.112573844	5.003024012	4.793503735	5.855840423	5.869251463	6.080495088	5.833795766	5.970993137	5.751892915	5.635690011	5.564475658	5.716302532
IQCE	4.545815731	4.52915517	4.592657574	5.536503869	5.493635695	5.376230956	4.522885304	4.695441894	4.562249348	6.393597192	6.37164299	6.344057173	6.197355948	6.256967937	6.180453271	6.257072704	6.09763207	6.051617948
VIPR2	0.106501029	0.106501029	0.106501029	0.106501029	0.26995962	0.106501029	0.106501029	0.106501029	0.106501029	1.894616767	2.332461857	2.375630038	4.479932461	4.621619026	4.713128237	3.178681953	3.160038106	3.104584736
TSPAN12	4.227617819	4.102580491	4.144017115	4.76922264	4.904190322	4.810905069	3.730814122	3.772348028	3.688819959	2.900649522	2.730640559	2.720234185	3.487804045	3.457132	3.335660637	3.027513704	3.122225476	3.023463821
SSBP1	7.153186154	7.179045288	7.178647622	6.963399848	6.970315698	7.057419668	7.159624263	7.121015137	7.164832538	7.449783429	7.449662571	7.408415097	7.07243993	6.936766078	7.092357929	7.325376259	7.385581737	7.313778948
HOXA13	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	1.861168695	1.849715371	2.018628115	2.955741948	2.71237024	3.034149555	2.013019718	2.108984312	2.309357373
CPED1	1.199503624	1.725977205	1.46517995	1.776519486	1.495836172	1.610308926	1.354562241	1.645686447	1.273688132	5.567811576	5.407565419	5.426073934	7.143558493	7.139967502	7.142335642	6.000029275	5.988900553	5.931692079
HIBADH	6.027298557	5.958134457	6.026329506	6.064129093	6.081579058	6.09338253	5.721878662	5.755617288	5.680516815	7.30647635	7.335388843	7.283512562	6.89723328	6.768082231	6.925177386	6.822184413	6.877965116	6.90906643
TAX1BP1	7.698836732	7.706258286	7.668125696	8.086689848	8.160216482	8.135094633	7.407220334	7.497659608	7.498203165	7.474878843	7.565846844	7.501231731	7.686930645	7.677986249	7.690767834	7.169040959	7.263882683	7.219044977
CPVL	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	4.859305503	5.091908113	4.998554116	5.502802639	5.593208938	5.70831545	5.356408599	5.427786791	5.342773574
CHN2	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	1.861168695	1.46557321	1.782159848	2.864145253	3.20701607	2.885561289	2.303641676	1.94538633	2.274722785
GRB10	6.998777906	6.965218416	6.949559967	6.082336553	6.046769045	6.030700725	6.888220717	6.83060024	6.935095488	6.14007519	6.12750281	6.095343439	5.2992826	5.326155524	5.384134374	5.943836306	5.851216309	5.77323884
ABHD11	5.676958865	5.674478904	5.797062768	6.375990279	6.298325627	6.327763579	5.884015941	5.914593354	5.872323448	4.450795813	4.527783595	4.526183912	4.218475812	4.267295486	4.162865117	3.676552286	3.845239807	3.820439558
COBL	4.581075204	4.682720624	4.70871652	6.473351391	6.45308783	6.456117878	5.253624998	5.251241171	5.227124061	5.160214383	5.127116616	5.176660518	5.691159456	5.624218184	5.506851674	5.934760184	5.905095531	5.906462474
FKBP14	2.790716929	2.958080899	2.845681343	2.921222762	2.875953022	2.965186813	2.866918819	3.26724888	2.944608101	5.310279108	5.266270438	5.231456984	5.2992826	5.157402568	5.238557271	6.005818977	5.9570348	5.961940859
PLEKHA8	5.200749373	5.294698399	5.1839641	4.771864756	4.834060932	4.869998102	5.146740615	4.984437803	4.965924827	5.443372217	5.585177247	5.530826563	4.803366746	4.688348788	4.908703046	5.026945936	5.12731287	5.067277058
STX1A	5.218274216	5.274609544	5.155027103	4.836392367	4.746530922	4.906110235	5.312860953	5.358575137	5.293380384	5.560015092	5.509813777	5.74370685	5.636842783	5.741990995	5.55991588	5.605504367	5.629936801	5.677057053
NOD1	3.488234039	3.431133234	3.476988181	3.746669282	3.752318925	3.586098339	3.737235274	3.815047638	3.725851241	3.275480284	3.071569878	3.257790122	2.688366574	2.578039568	2.904993539	3.158032313	3.267870134	3.271972868
GARS1	8.241609448	8.160052443	8.263024741	7.72226455	7.749262873	7.756306908	7.926941813	7.885166154	7.919773659	9.170808483	9.218166473	9.161409055	8.320888666	8.248305142	8.358725388	9.046212722	9.065246804	9.055736527
NSUN5P2	3.437834087	3.715715809	3.380287424	3.835225774	3.813238022	3.939686707	3.209363205	3.297678639	3.241680921	4.029437645	3.75984674	4.065318695	4.041626053	4.091068433	3.917070023	3.617275354	3.506713494	3.879257963
CASP2	6.140614529	6.101877554	6.067285951	5.648566254	5.6904954	5.668492829	5.859208676	5.81467631	6.028687429	6.372979218	6.365759101	6.394452648	5.878370663	5.830333523	5.860389488	6.239980887	6.131335135	6.254088763
CHCHD2	7.502350059	7.559469793	7.601050045	6.806027793	6.920423725	6.801117283	7.808071966	7.718511373	7.616926316	6.973367056	7.004358302	7.117967274	5.629907122	5.913577177	5.786355302	7.071656746	6.972641432	7.105384159
HSPB1	8.498572793	8.447574883	8.550768595	9.000253988	9.057178627	9.021297318	8.806702859	8.76036809	8.548860203	7.179082776	7.184788198	7.352345821	8.77285909	8.918913107	8.680323711	7.788685645	7.561003343	7.789070046
NPTX2	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.183756067	0.106501029	0.106501029	3.397160945	3.298544925	3.6784177	4.031135451	4.139570805	4.018682011	3.97692927	3.564249464	3.681923205
PDAP1	7.89216342	7.878456628	7.949455672	7.757017463	7.745794512	7.757130969	7.845701322	7.85947254	7.825360021	7.743932042	7.710983326	7.735491123	7.35704955	7.398975389	7.387393224	7.669731666	7.732369166	7.665013457
BUD31	6.698732862	6.584097023	6.707312632	6.418764314	6.454150846	6.497142392	6.589577656	6.54690855	6.698275778	7.08351873	7.023170875	7.005539411	6.436730759	6.422920972	6.45712964	6.876913711	6.80077481	6.76833515
PTCD1	2.589953725	2.660719519	2.714318447	2.517369557	2.433888349	2.544165619	2.524878701	2.649824286	2.374054985	3.476615636	3.795300387	3.607684493	3.533117017	3.410457992	3.432574783	3.841036034	3.724251041	3.832396645
ZKSCAN1	6.808590043	6.951927084	6.741455083	7.630987584	7.624506149	7.613908256	7.067079628	7.160184393	7.083353798	6.435390867	6.27449373	6.410867391	6.622897406	6.482422919	6.623257022	6.479338008	6.391864197	6.306464367
EIF3B	8.348923195	8.361308605	8.410288091	8.081640844	8.084323453	8.094918348	8.361665318	8.302421131	8.289170058	9.075587757	9.102634454	9.08953403	8.761797917	8.777034414	8.759183942	8.862986383	8.875504016	8.853137662
SNX8	6.108752974	6.113233922	6.279678626	6.069508123	5.921708419	5.81814097	6.010007439	6.00956914	5.864042115	7.114012583	7.150120139	7.182836291	6.092788779	6.225856838	6.135918576	6.657247774	6.714462743	6.746384412
NUDT1	4.009148643	3.735447377	4.124246891	3.048705558	3.301514845	2.89504287	3.830273036	3.829004544	3.561449741	4.461995426	4.435298644	4.458887751	3.921807304	3.643567056	3.510758102	4.606901432	4.603805676	4.570996246
PTPRZ1	4.545815731	4.609763047	4.412035961	4.019930413	4.148793413	4.169996599	3.724364263	3.999132272	3.969186293	0.216395805	0.316291437	0.21924574	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029
TAF6	6.144548199	6.035779556	6.212920629	5.971776693	5.962620584	5.805449908	6.182261162	6.056294709	6.092105333	6.250766312	6.21846143	6.306267627	6.122740798	6.163893441	6.200250605	6.205177522	6.012346312	6.176475954
WASL	6.015891168	5.967897968	6.05062372	6.48869044	6.49604173	6.500098876	5.961471704	6.108723076	6.061650358	6.842367955	6.830496147	6.866394338	6.655706054	6.670774789	6.733338203	7.045193904	7.013235017	7.065416255
AIMP2	5.353566559	5.240493713	5.35147394	5.384248364	5.31558983	5.445349784	5.102661422	4.971912624	5.081150856	6.536853865	6.644970762	6.585351529	6.22753297	6.187154283	6.221718416	5.964794479	5.983638233	6.010110382
TFR2	2.07823759	2.355384658	2.422155968	1.66723512	1.622272506	1.992653798	2.334731715	2.4655511	2.277588401	1.990545545	2.125186121	1.954926324	1.840865627	1.864130756	1.475192815	1.389995149	1.491012033	2.005764418
MOSPD3	3.622155688	3.554745938	3.590847443	4.496390369	4.497086971	4.456412552	3.630900963	3.356677808	3.540816444	3.520127887	3.67673937	3.41991743	4.190465645	4.222966352	3.897800843	3.617275354	3.672863895	3.655244589
PCOLCE	1.586364992	1.616736826	1.305813413	1.858352327	1.738515431	1.550722036	1.320757228	1.795362109	1.3704073	1.51908749	1.631688854	1.921988631	1.791994499	1.953661739	1.880533006	1.966275914	1.94538633	2.087858718
RBM28	6.280650297	6.1169996	6.273409422	5.744499768	5.69948787	5.721809113	5.925373946	5.94535087	6.015662325	6.43396968	6.380424072	6.406409133	5.540275084	5.547207299	5.677573662	6.014460196	6.100065718	6.116620075
USP42	4.656474768	4.682720624	4.649089325	4.662213456	4.794321231	4.735973509	4.591826405	4.486784236	4.651564648	4.803168192	4.673037503	4.857611633	4.547739621	4.500575219	4.598451592	4.622058592	4.569092449	4.620106429
IMPDH1	5.907407761	5.855181083	6.010262159	6.217367045	6.179952133	6.124369714	6.473226232	6.361294132	6.324128276	6.301524076	6.269775325	6.337827255	6.674365	6.800118414	6.737408849	6.664586327	6.656119036	6.665144459
AGFG2	3.637124097	3.715715809	3.799700065	3.39562372	3.39304588	3.290693249	3.538333514	3.579431818	3.421735914	2.815894629	2.819419313	2.998190339	3.041868727	2.787347649	3.016391647	2.724621557	2.871824484	2.798136537
LSM5	5.719773693	5.684664453	5.603591775	4.853954666	5.006281147	4.882136193	5.553809888	5.462955891	5.481066115	5.883175591	5.963818636	5.808215905	5.26835294	5.305046956	5.283793211	5.90098385	5.996758218	5.923331138
SERPINE1	4.421642396	4.498689449	4.415293557	4.858933447	4.541772248	4.527684905	5.215040616	5.198460574	5.154285971	8.086400854	8.041382408	8.094000436	6.517864998	6.459680104	6.504077362	6.470991066	6.522795729	6.39378137
AP1S1	6.595227574	6.49719246	6.598319443	6.514161597	6.612973556	6.543734142	6.377818431	6.469945831	6.41337957	7.225823714	7.206348864	7.274570894	6.470122366	6.584058297	6.496091149	6.595236655	6.639484755	6.571941089
C1GALT1	5.077224602	5.191334235	5.151124609	4.489986038	4.381152741	4.584501684	4.902957979	4.946531247	5.116439807	6.044597138	6.095862641	6.130007618	5.687823922	5.859583985	5.86287585	5.86639775	5.879824442	5.872121651
PLOD3	6.841272876	6.782867264	6.836251744	6.466843732	6.430581617	6.325543074	7.133696188	7.005935942	6.956674858	8.63136767	8.600463706	8.654999256	8.094005392	8.155241378	8.07061211	8.488619407	8.43927687	8.514437271
RPA3	5.136363358	4.987025521	5.054150626	4.51858426	4.446707102	4.562042762	4.931237103	4.956101668	4.840690746	5.214199326	5.234335411	5.190555987	4.612502374	4.655369684	4.562192474	5.193471621	5.255104029	5.256657249
ZNHIT1	6.04143211	5.969287377	6.072453679	6.418764314	6.432740257	6.389652633	6.031065617	6.029348292	5.975866223	5.838757669	5.990829759	5.918779383	6.125208956	6.207773132	6.027063765	5.747034786	5.859858472	5.757647269
CLDN15	1.89111943	2.011405231	1.915175964	2.479078557	2.627242358	2.365486836	1.992243826	2.124453485	2.091498041	2.949210997	3.248262039	3.334887425	3.966537566	3.956755966	4.138445659	3.676552286	3.619578578	3.55778151
GLCCI1	3.349712354	3.204501968	3.464463149	4.327079501	4.438136722	4.448271602	2.831347293	2.98509795	2.97568719	3.853509763	4.058658842	3.97988243	4.456602878	4.081169169	4.130213116	4.614499918	4.357564611	4.330840058
PHF14	5.057887719	4.887656738	4.936646913	4.397205661	4.354073573	4.504316504	4.466031022	4.584635236	4.376784708	6.632886854	6.596805568	6.539942327	6.077576306	6.125877952	6.208094092	6.177230567	6.12895371	6.128791569
NRF1	4.399866574	4.327249029	4.321179715	4.260912504	4.317158764	4.145029818	4.45438627	4.386536919	4.394142817	4.679091416	4.223893219	4.370097669	4.190465645	4.167908345	4.330327677	4.479545504	4.316297597	4.482711021
TMEM106B	5.737244875	5.716452314	5.75010545	6.402659215	6.42082757	6.431550844	5.542855139	5.722354291	5.708538272	6.857289201	6.837953175	6.848976881	8.028271214	7.864848298	7.95009543	7.654148354	7.613902505	7.638868662
EZH2	5.35809077	5.355465988	5.34977239	3.913882833	3.964133176	3.939686707	4.953467953	5.138080749	5.070393626	5.379836909	5.259939734	5.22809251	4.765895807	4.825118108	4.702062169	4.944941435	4.933516511	4.989318603
CEP41	4.995370354	4.91963063	4.945686792	4.707078908	4.60821883	4.550680816	4.577583741	4.725598301	4.731125283	4.92552725	4.774231061	4.982669732	4.797188785	4.801196056	4.803912714	4.576100852	4.540707661	4.475104129
ZNF862	2.635388565	2.437986916	2.409143544	2.882629741	2.913534792	3.010123676	2.013560974	2.146912789	2.629902688	3.944153711	3.768792166	3.736402849	4.333936514	4.195699982	4.249024837	3.676552286	3.462003809	3.55778151
MEST	6.557368741	6.456161071	6.49511296	6.680176863	6.749120399	6.636220763	6.787405689	6.731915184	6.796192298	8.112843177	8.142492813	8.109168441	8.95592818	8.884818867	8.850963412	8.605711186	8.65159031	8.616933797
ANKMY2	3.792275407	3.532360965	3.585073684	4.046359138	4.045377343	4.018779921	3.762637849	3.537547839	3.650813055	4.387593843	4.051345818	4.160169762	4.245952497	4.240861785	4.407292113	4.143750735	3.946080932	4.021827915
ACTR3C	2.620402045	2.804648512	2.581432031	3.074617032	2.938056209	2.870882654	2.211014914	2.500853653	2.419972516	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029
POU6F2	1.89111943	2.155072164	2.038601638	2.044673768	2.084417075	2.121111057	1.7847317	2.124453485	1.844512799	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.256032355
TSPAN13	6.123443584	6.029133334	6.08478122	6.133566653	6.151400226	6.112827375	6.262356532	6.174423461	6.299774403	5.853716108	5.846193941	5.74370685	6.430757049	6.461589092	6.489670196	6.362363042	6.367829137	6.38365938
AGR2	7.185365118	7.260177539	7.112454447	7.646906987	7.718185812	7.744304832	8.00018421	8.04130731	8.105545358	8.416480489	8.386853802	8.349522018	8.452506544	8.32946926	8.360046036	8.463069239	8.59059207	8.486806277
AHR	6.731357116	6.778911099	6.654534412	6.678065641	6.706935153	6.658444818	6.582462791	6.661513658	6.648516362	7.727204182	7.751032506	7.785559353	7.313345076	7.172965348	7.328346378	7.372070727	7.273617417	7.296618574
CHCHD3	6.107410016	6.046350234	6.039055776	5.568768652	5.66133694	5.526853811	5.906980617	5.879817451	5.821907032	6.519538135	6.516762801	6.454708236	5.969096298	6.049244175	6.094203816	6.344197603	6.232406813	6.308605955
GLI3	1.315703472	1.265081901	0.958181106	1.446877346	1.120667133	1.390007277	1.970606968	2.030947555	1.877799173	3.509372237	3.863696318	3.939309631	5.468224545	5.480989703	5.566032329	3.841036034	4.009593843	3.968647427
PSMA2	1.315703472	1.3357269	1.36091495	1.336984185	1.282614914	1.456456556	0.884805885	1.442808916	1.461047744	2.218960992	2.068355044	2.399754873	2.548252185	2.193078471	2.455732574	2.607661037	2.676937836	2.773540391
MRPL32	5.781703876	5.821729371	5.878388779	5.501910413	5.483259103	5.473701169	5.731559278	5.714857196	5.726921373	6.374461742	6.334468721	6.315808216	5.980046115	5.949388961	5.970546162	6.389189407	6.385892867	6.43944909
COA1	6.137986111	6.169921299	6.238892917	5.503500969	5.644672563	5.61130858	5.981893727	6.004965952	6.017530269	6.844509033	6.862186945	6.845687568	6.866583787	6.711451695	6.829269157	6.915871341	6.918516023	6.864635117
BLVRA	4.425958394	4.447768051	4.665597216	4.726277167	4.627193395	4.848507562	4.386562761	4.437531127	4.433850887	6.602846163	6.624173086	6.505617063	6.536528282	6.562873957	6.639299392	6.443525083	6.513697104	6.546761169
URGCP	5.456305778	5.361827539	5.332645597	5.479456511	5.3639011	5.414342011	5.496293258	5.440404064	5.47564085	6.097620895	6.030421255	6.071136661	5.872506317	5.924691168	5.822570504	6.207691513	6.175850966	6.215804214
TMEM248	6.473330072	6.427133063	6.511947655	6.547695329	6.533736863	6.579580979	6.594006694	6.53843913	6.58317154	6.961578937	7.052769872	7.054799329	7.415690247	7.329593745	7.393425131	7.171618658	7.19611261	7.151451258
STAG3L4	2.589953725	2.485369453	2.510097773	2.17813868	2.288901174	2.528806236	2.192442112	2.755911075	2.486219711	4.532747469	4.599733404	4.464617227	4.384261395	4.368437828	4.407292113	4.695543957	4.664259275	4.726451601
RHEB	6.360610205	6.355623588	6.426545556	6.31751396	6.42082757	6.412847076	6.434236814	6.472170947	6.474493736	7.200136593	7.206348864	7.116148333	7.057010209	7.067862842	7.037288337	7.378779042	7.305600157	7.353734963
PRKAG2	4.674724636	4.709571499	4.864598425	4.973542907	4.897953936	4.970055765	4.691083582	4.691627632	4.753714172	6.841296223	6.802456177	6.821334019	4.881361724	4.848649958	4.98372763	6.034424011	5.935393101	6.066880485
POLD2	6.526550673	6.440217894	6.573019405	6.657496278	6.601505871	6.624527524	6.959977125	6.850407887	6.804871208	6.377422228	6.432016937	6.438787525	7.086440323	7.240119889	7.112348285	7.049404653	6.983227038	6.917510207
BCL7B	6.307799	6.195077874	6.294791371	5.698025011	5.789830082	5.735254172	6.140481782	6.171687812	6.047093067	6.560491477	6.570188645	6.675804091	5.996316574	6.041607323	6.046880002	6.753300915	6.506376661	6.727299956
YKT6	7.134188112	7.098166339	7.147645431	7.563206911	7.573570979	7.565334776	7.505944414	7.534857907	7.498871902	6.898059763	7.009084493	6.855533094	7.378932301	7.404940076	7.342668329	7.457992398	7.331721281	7.357877199
TBL2	5.783386777	5.876071654	5.914520065	5.669970813	5.675989834	5.627622064	6.040182788	6.036884032	6.052569279	6.54082046	6.589250709	6.49305728	6.701081621	6.7305766	6.723795122	6.680962846	6.577961413	6.617568882
CLIP2	4.974896587	4.913869656	4.972471454	5.202302887	5.136473882	5.156492971	4.799373396	4.733039929	4.731125283	5.689528677	5.807650001	5.884996145	5.209091339	5.16679398	5.187896107	5.440036766	5.364415736	5.530626501
EIF4H	8.759780421	8.675338596	8.741274361	8.574310097	8.551473398	8.578814356	8.573623479	8.583591376	8.629548089	9.383980197	9.386894128	9.334483476	9.883601249	9.878717181	9.86672879	9.652742239	9.666381213	9.649791053
LIMK1	7.164207723	7.07641211	7.20241288	7.659445891	7.48844999	7.501855055	7.542609199	7.48724591	7.484762919	5.429176102	5.530999966	5.58180076	6.408639359	6.459680104	6.389760243	6.21270639	6.104920732	6.208941379
SPATA6L	1.840285557	2.249582922	2.183198618	2.491955476	2.533802162	2.497588029	1.857269838	1.981819135	2.226823214	0.318508807	0.316291437	0.421313813	0.635873028	0.625525211	0.461788572	0.106501029	0.387193635	0.106501029
SLC1A1	4.156676323	4.26977264	4.194186583	3.757374277	3.903166274	4.002192595	4.555952585	4.56808741	4.428244781	0.742530866	0.661885747	0.756331552	2.577384865	2.299368014	2.629332384	1.706720474	2.02950303	1.62077698
LHX2	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	2.900649522	3.114307744	3.044831926	3.753334251	3.988879481	3.459109457	3.586697811	3.578281943	3.655244589
FKTN	5.21078962	5.26559058	5.193482209	5.461565679	5.4874187	5.555558247	5.282449752	5.302158761	5.406045405	6.445300164	6.359851117	6.447493322	6.489409421	6.397219245	6.640748982	6.739468088	6.739654718	6.698191403
FSD1L	1.61688835	1.8757385	1.248523498	2.626498092	2.549801873	2.544165619	1.926334724	1.956612972	1.775543505	2.707144165	2.784560611	2.794902642	2.816069573	2.299368014	2.7842686	2.144797783	2.960209313	2.376227719
CNTNAP3	3.358770724	3.517242332	3.451828426	3.840269496	3.79321612	3.837423248	3.685047572	3.537547839	3.788453261	3.420312289	3.370828547	3.322320604	3.591401984	3.796594675	3.655457913	4.264577073	4.29095864	4.296723482
SPIN1	7.195512626	7.231515888	7.138311927	7.064378031	7.083180217	7.106096651	7.060693691	7.111768142	7.18823926	7.270301594	7.246126849	7.232374208	7.321977383	7.239007332	7.376123761	7.281899421	7.370541118	7.234896977
NMRK1	2.843295725	3.106887559	2.638296013	3.840269496	3.79321612	3.563664453	3.333215815	3.422592729	3.267026732	4.138161582	4.366250915	4.174224199	5.892928076	5.836231252	5.842863927	4.376061505	4.596929529	4.512743734
